id,in_b,in_d,in_dd,in_sigma_m,in_sigma_w,alpha,beta,gamma,pop_error,pcf_error
19,1.0,0.0,0.75,2.4000000000000004,0.9,2.712965669596155,-0.41628871400677536,-1.2966769555893798,0.9997381195919194,0.04661313270119624
20,1.0,0.0,0.75,2.4000000000000004,1.0,3.009167768355436,-0.36823347112610333,-1.6409342972293324,0.9997716095241272,0.048237965927259444
21,1.0,0.0,0.75,2.5,0.6,2.4872422922936046,-0.43866597198098817,-1.0485763203126164,0.9997201673786448,0.04307413855296361
22,1.0,0.0,0.75,2.5,0.7,2.539774317437695,-0.45935798259933264,-1.0804163348383626,0.9996696463366351,0.04608135401611421
23,1.0,0.0,0.75,2.5,0.8,2.6181293930833722,-0.3899797443835687,-1.2281496486998036,0.9996535008715929,0.046833509613519585
24,1.0,0.0,0.75,2.5,0.9,2.6615013742149003,-0.33775715585504107,-1.3237442183598596,0.9997121790741176,0.047894264434925914
25,1.0,0.0,0.75,2.5,1.0,2.6570781011298954,-0.314965758880911,-1.3421123422489842,0.9997348567457693,0.045820508908549676
27,1.0,0.1,0.75,2.1,0.7,2.7580805667593022,-0.43825658825036584,-1.3198239785089363,0.9997311994678201,0.0502046445590771
28,1.0,0.1,0.75,2.1,0.8,3.043486963223427,-0.5163593652422173,-1.5271275979812093,0.9997648673320261,0.05253038047474423
29,1.0,0.1,0.75,2.1,0.9,2.81643532046665,-0.5945221643849979,-1.2219131560816523,0.9997527274719291,0.05041258234481977
30,1.0,0.1,0.75,2.1,1.0,3.0523294951170983,-0.6571647479052464,-1.395164747211852,0.999773245290074,0.04967249409127476
31,1.0,0.1,0.75,2.2,0.6,2.566833816336155,-0.30250367424657076,-1.2643301420895845,0.9996832257029034,0.05048752902863818
32,1.0,0.1,0.75,2.2,0.7,2.699120562521182,-0.34881258281441985,-1.3503079797067616,0.9997334712255271,0.05311934183293951
33,1.0,0.1,0.75,2.2,0.8,2.6892661711373,-0.46562272745473704,-1.223643443682563,0.9997438713357866,0.04892550929240179
34,1.0,0.1,0.75,2.2,0.9,2.707832882046107,-0.41078118103017547,-1.2970517010159317,0.9997614154584545,0.0529893134424174
35,1.0,0.1,0.75,2.2,1.0,2.791350911407304,-0.518672314706867,-1.2726785967004368,0.999764606651394,0.05198656957667738
